danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,artist,cluster
0.594,0.875,11,-4.452,0,0.0584,0.0552,0.000148,0.149,0.477,160.008,audio_features,6WtBCTeMrTC9oKQ8dgSWcM,spotify:track:6WtBCTeMrTC9oKQ8dgSWcM,https://api.spotify.com/v1/tracks/6WtBCTeMrTC9oKQ8dgSWcM,https://api.spotify.com/v1/audio-analysis/6WtBCTeMrTC9oKQ8dgSWcM,198067,4,Silent Night,DREAMCATCHER,4
0.554,0.134,3,-13.015,1,0.0296,0.932,4.03e-06,0.111,0.154,99.864,audio_features,2cY5ivnq6B5qjStgF0XBG6,spotify:track:2cY5ivnq6B5qjStgF0XBG6,https://api.spotify.com/v1/tracks/2cY5ivnq6B5qjStgF0XBG6,https://api.spotify.com/v1/audio-analysis/2cY5ivnq6B5qjStgF0XBG6,217650,3,No One Could Ever Love Me Like You Do,Imaginary Future,2
0.429,0.784,9,-5.014,0,0.183,0.104,0.0,0.193,0.964,92.102,audio_features,3hrzlb1ZKYRZ3DSxv8Ji4U,spotify:track:3hrzlb1ZKYRZ3DSxv8Ji4U,https://api.spotify.com/v1/tracks/3hrzlb1ZKYRZ3DSxv8Ji4U,https://api.spotify.com/v1/audio-analysis/3hrzlb1ZKYRZ3DSxv8Ji4U,177182,4,Si Vos Queres,Sudor Marika,4
0.859,0.741,11,-12.329,0,0.271,0.00276,0.0,0.325,0.529,98.082,audio_features,3GsS8jzoixpCnp4jDWCEvb,spotify:track:3GsS8jzoixpCnp4jDWCEvb,https://api.spotify.com/v1/tracks/3GsS8jzoixpCnp4jDWCEvb,https://api.spotify.com/v1/audio-analysis/3GsS8jzoixpCnp4jDWCEvb,221200,4,2 Da Beat Ch'yall,Kris Kross,6
0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,audio_features,0t3ZvGKlmYmVsDzBJAXK8C,spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/tracks/0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/audio-analysis/0t3ZvGKlmYmVsDzBJAXK8C,174853,4,Goodbyes (feat. Young Thug),Post Malone,0
0.802,0.188,9,-11.978,1,0.0979,0.993,0.0,0.188,0.417,119.678,audio_features,1fQQsEPySsedYVZXynyaOG,spotify:track:1fQQsEPySsedYVZXynyaOG,https://api.spotify.com/v1/tracks/1fQQsEPySsedYVZXynyaOG,https://api.spotify.com/v1/audio-analysis/1fQQsEPySsedYVZXynyaOG,157283,4,"Mama, Mama Can't You See",Bob Soldier,6
0.699,0.261,8,-15.604,1,0.923,0.794,0.0,0.391,0.688,103.931,audio_features,72EyhqIsiFXZSWnhfyMTLD,spotify:track:72EyhqIsiFXZSWnhfyMTLD,https://api.spotify.com/v1/tracks/72EyhqIsiFXZSWnhfyMTLD,https://api.spotify.com/v1/audio-analysis/72EyhqIsiFXZSWnhfyMTLD,1013787,5,L' Antarctique,Paul-Emile Victor,6
0.487,0.418,10,-6.184,1,0.032,0.442,0.0,0.17,0.588,93.236,audio_features,6ElbF1uBCYlazCH6jAoF5s,spotify:track:6ElbF1uBCYlazCH6jAoF5s,https://api.spotify.com/v1/tracks/6ElbF1uBCYlazCH6jAoF5s,https://api.spotify.com/v1/audio-analysis/6ElbF1uBCYlazCH6jAoF5s,160867,4,El Hijo del Pueblo,Vicente Fernández,4
0.809,0.555,0,-5.689,1,0.0617,0.481,1.46e-06,0.133,0.473,104.085,audio_features,1t3koreZmmgvTYvxATwqfz,spotify:track:1t3koreZmmgvTYvxATwqfz,https://api.spotify.com/v1/tracks/1t3koreZmmgvTYvxATwqfz,https://api.spotify.com/v1/audio-analysis/1t3koreZmmgvTYvxATwqfz,219653,4,Pilots,Andrew Ripp,3
0.87,0.593,6,-8.611,0,0.081,0.298,9.07e-06,0.102,0.971,102.015,audio_features,0XXd7ns2hbTuf5y8zSisw7,spotify:track:0XXd7ns2hbTuf5y8zSisw7,https://api.spotify.com/v1/tracks/0XXd7ns2hbTuf5y8zSisw7,https://api.spotify.com/v1/audio-analysis/0XXd7ns2hbTuf5y8zSisw7,97059,3,Nadukadalula Kappala,Santhosh Narayanan,0
0.744,0.821,11,-4.274,0,0.27,0.0762,0.0,0.504,0.674,167.941,audio_features,3cUG4UHvxRMNTFCJqJ3whT,spotify:track:3cUG4UHvxRMNTFCJqJ3whT,https://api.spotify.com/v1/tracks/3cUG4UHvxRMNTFCJqJ3whT,https://api.spotify.com/v1/audio-analysis/3cUG4UHvxRMNTFCJqJ3whT,256080,4,006,MC Chris,4
0.632,0.206,2,-12.671,1,0.0362,0.91,1.57e-05,0.146,0.535,94.262,audio_features,4YSjv3LnnD0BSXhcsWKN31,spotify:track:4YSjv3LnnD0BSXhcsWKN31,https://api.spotify.com/v1/tracks/4YSjv3LnnD0BSXhcsWKN31,https://api.spotify.com/v1/audio-analysis/4YSjv3LnnD0BSXhcsWKN31,233147,4,(Looking For) The Heart Of Saturday Night,Tom Waits,2
0.229,0.905,2,-6.434,1,0.0698,5.81e-05,0.934,0.367,0.177,92.239,audio_features,0ghgsfOnoXJT7jsS63U8et,spotify:track:0ghgsfOnoXJT7jsS63U8et,https://api.spotify.com/v1/tracks/0ghgsfOnoXJT7jsS63U8et,https://api.spotify.com/v1/audio-analysis/0ghgsfOnoXJT7jsS63U8et,196427,4,Ethos of Coercion,Dying Fetus,3
0.41,0.928,3,-4.812,0,0.0546,0.000682,0.00225,0.063,0.481,176.814,audio_features,094NMQnbuU7HsB39TK9r0h,spotify:track:094NMQnbuU7HsB39TK9r0h,https://api.spotify.com/v1/tracks/094NMQnbuU7HsB39TK9r0h,https://api.spotify.com/v1/audio-analysis/094NMQnbuU7HsB39TK9r0h,218613,4,Rock-N-Rule,Emery,3
0.599,0.605,2,-7.133,1,0.241,0.0602,0.0,0.138,0.45,163.969,audio_features,5dNXuobhLxNha2sx4FWSWk,spotify:track:5dNXuobhLxNha2sx4FWSWk,https://api.spotify.com/v1/tracks/5dNXuobhLxNha2sx4FWSWk,https://api.spotify.com/v1/audio-analysis/5dNXuobhLxNha2sx4FWSWk,175028,4,Nervous,Nick Jonas,3
0.386,0.542,6,-8.386,1,0.0349,0.159,0.000646,0.84,0.155,128.956,audio_features,0lV6jCaX2eMYlca5KoGvSA,spotify:track:0lV6jCaX2eMYlca5KoGvSA,https://api.spotify.com/v1/tracks/0lV6jCaX2eMYlca5KoGvSA,https://api.spotify.com/v1/audio-analysis/0lV6jCaX2eMYlca5KoGvSA,365533,4,In The Journey,Martin Sexton,0
0.448,0.651,1,-3.995,1,0.0292,0.548,0.0,0.132,0.349,78.817,audio_features,4VSTjcxtHcpVI5MhWv5eUL,spotify:track:4VSTjcxtHcpVI5MhWv5eUL,https://api.spotify.com/v1/tracks/4VSTjcxtHcpVI5MhWv5eUL,https://api.spotify.com/v1/audio-analysis/4VSTjcxtHcpVI5MhWv5eUL,258853,4,Tu Vida Con La Mía,Cristian Castro,3
0.628,0.867,9,-3.555,1,0.0913,0.0108,0.0,0.308,0.597,78.043,audio_features,2dgFqylK6gyILa4HY65u0y,spotify:track:2dgFqylK6gyILa4HY65u0y,https://api.spotify.com/v1/tracks/2dgFqylK6gyILa4HY65u0y,https://api.spotify.com/v1/audio-analysis/2dgFqylK6gyILa4HY65u0y,227311,4,I'm Ready,AJR,4
0.243,0.756,0,-8.064,1,0.0432,1.65e-05,0.463,0.322,0.295,130.959,audio_features,5d6gQ9F3EZLFElsxa5pXXN,spotify:track:5d6gQ9F3EZLFElsxa5pXXN,https://api.spotify.com/v1/tracks/5d6gQ9F3EZLFElsxa5pXXN,https://api.spotify.com/v1/audio-analysis/5d6gQ9F3EZLFElsxa5pXXN,366947,4,Take As Needed for Pain - remastered 2007,Eyehategod,3
0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,audio_features,30KctD1WsHKTIYczXjip5a,spotify:track:30KctD1WsHKTIYczXjip5a,https://api.spotify.com/v1/tracks/30KctD1WsHKTIYczXjip5a,https://api.spotify.com/v1/audio-analysis/30KctD1WsHKTIYczXjip5a,193293,4,Tequila Shots,Kid Cudi,0
0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,audio_features,6sy3LkhNFjJWlaeSMNwQ62,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/tracks/6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/audio-analysis/6sy3LkhNFjJWlaeSMNwQ62,257840,4,Counting Stars,OneRepublic,3
